scheme,experiment,variable_value,run_id,primary_metric,secondary_metric_1,status
guo_vdsse,exp1,11,7,0.008705,21,ok
guo_vdsse,exp1,11,8,0.008607,21,ok
guo_vdsse,exp1,11,9,0.009121,21,ok
guo_vdsse,exp1,11,10,0.009930,21,ok
guo_vdsse,exp1,12,1,0.009790,21,ok
guo_vdsse,exp1,12,2,0.009378,21,ok
guo_vdsse,exp1,12,3,0.008280,21,ok
guo_vdsse,exp1,12,4,0.009372,21,ok
guo_vdsse,exp1,12,5,0.008982,21,ok
guo_vdsse,exp1,12,6,0.022108,21,ok
guo_vdsse,exp1,12,7,0.008758,21,ok
guo_vdsse,exp1,12,8,0.009444,21,ok
guo_vdsse,exp1,12,9,0.009261,21,ok
guo_vdsse,exp1,12,10,0.009815,21,ok
guo_vdsse,exp1,13,1,0.008810,21,ok
guo_vdsse,exp1,13,2,0.009679,21,ok
guo_vdsse,exp1,13,3,0.068887,21,ok
guo_vdsse,exp1,13,4,0.012471,21,ok
guo_vdsse,exp1,13,5,0.010484,21,ok
guo_vdsse,exp1,13,6,0.009682,21,ok
guo_vdsse,exp1,13,7,0.009421,21,ok
guo_vdsse,exp1,13,8,0.009021,21,ok
guo_vdsse,exp1,13,9,0.009183,21,ok
guo_vdsse,exp1,13,10,0.010994,21,ok
guo_vdsse,exp1,14,1,0.009463,21,ok
guo_vdsse,exp1,14,2,0.008968,21,ok
guo_vdsse,exp1,14,3,0.009447,21,ok
guo_vdsse,exp1,14,4,0.010541,21,ok
guo_vdsse,exp1,14,5,0.010077,21,ok
guo_vdsse,exp1,14,6,0.010150,21,ok
guo_vdsse,exp1,14,7,0.008984,21,ok
guo_vdsse,exp1,14,8,0.009496,21,ok
guo_vdsse,exp1,14,9,0.009663,21,ok
guo_vdsse,exp1,14,10,0.008979,21,ok
guo_vdsse,exp1,15,1,0.009646,21,ok
guo_vdsse,exp1,15,2,0.011116,21,ok
guo_vdsse,exp1,15,3,0.009295,21,ok
guo_vdsse,exp1,15,4,0.010336,21,ok
guo_vdsse,exp1,15,5,0.009719,21,ok
guo_vdsse,exp1,15,6,0.009632,21,ok
guo_vdsse,exp1,15,7,0.009701,21,ok
guo_vdsse,exp1,15,8,0.010108,21,ok
guo_vdsse,exp1,15,9,0.009302,21,ok
guo_vdsse,exp1,15,10,0.010089,21,ok
guo_vdsse,exp1,16,1,0.009976,21,ok
guo_vdsse,exp1,16,2,0.010215,21,ok
guo_vdsse,exp1,16,3,0.009635,21,ok
guo_vdsse,exp1,16,4,0.009647,21,ok
guo_vdsse,exp1,16,5,0.010327,21,ok
guo_vdsse,exp1,16,6,0.009840,21,ok
guo_vdsse,exp1,16,7,0.009491,21,ok
guo_vdsse,exp1,16,8,0.010580,21,ok
guo_vdsse,exp1,16,9,0.009261,21,ok
guo_vdsse,exp1,16,10,0.008759,21,ok
guo_vdsse,exp1,17,1,0.010031,21,ok
guo_vdsse,exp1,17,2,0.010373,21,ok
guo_vdsse,exp1,17,3,0.009468,21,ok
guo_vdsse,exp1,17,4,0.010234,21,ok
guo_vdsse,exp1,17,5,0.010461,21,ok
guo_vdsse,exp1,17,6,0.010451,21,ok
guo_vdsse,exp1,17,7,0.009945,21,ok
guo_vdsse,exp1,17,8,0.010647,21,ok
guo_vdsse,exp1,17,9,0.020681,21,ok
guo_vdsse,exp1,17,10,0.009683,21,ok
guo_vdsse,exp1,18,1,0.010415,21,ok
guo_vdsse,exp1,18,2,0.009295,21,ok
guo_vdsse,exp1,18,3,0.010079,21,ok
guo_vdsse,exp1,18,4,0.010248,21,ok
guo_vdsse,exp1,18,5,0.010160,21,ok
guo_vdsse,exp1,18,6,0.009652,21,ok
guo_vdsse,exp1,18,7,0.010386,21,ok
guo_vdsse,exp1,18,8,0.011083,21,ok
guo_vdsse,exp1,18,9,0.009032,21,ok
guo_vdsse,exp1,18,10,0.009354,21,ok
guo_vdsse,exp1,19,1,0.009319,21,ok
guo_vdsse,exp1,19,2,0.010023,21,ok
guo_vdsse,exp1,19,3,0.009812,21,ok
guo_vdsse,exp1,19,4,0.010692,21,ok
guo_vdsse,exp1,19,5,0.009437,21,ok
guo_vdsse,exp1,19,6,0.009816,21,ok
guo_vdsse,exp1,19,7,0.010097,21,ok
guo_vdsse,exp1,19,8,0.009408,21,ok
guo_vdsse,exp1,19,9,0.010308,21,ok
guo_vdsse,exp1,19,10,0.010667,21,ok
guo_vdsse,exp1,20,1,0.010060,21,ok
guo_vdsse,exp1,20,2,0.009947,21,ok
guo_vdsse,exp1,20,3,0.009072,21,ok
guo_vdsse,exp1,20,4,0.009964,21,ok
guo_vdsse,exp1,20,5,0.010968,21,ok
guo_vdsse,exp1,20,6,0.009439,21,ok
guo_vdsse,exp1,20,7,0.010172,21,ok
guo_vdsse,exp1,20,8,0.009949,21,ok
guo_vdsse,exp1,20,9,0.008936,21,ok
guo_vdsse,exp1,20,10,0.010132,21,ok
