variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,1534.315288,50.651573,3.620102,0.399461,0.000000,0.000000,10
500,2672.326075,42.022850,2.279582,0.281665,0.000000,0.000000,10
1000,2989.312072,52.250219,1.744389,0.114402,0.000000,0.000000,10
2500,3046.922732,194.310077,1.690567,0.177755,0.000000,0.000000,10
5000,3025.690797,161.321081,1.575828,0.074205,0.000000,0.000000,10
10000,3061.443406,129.765142,1.582542,0.073723,0.000000,0.000000,10
