variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs,measurement_type
2,154708,302.338,10,0,2,0,10,measured
3,155017,288.282,15,0,3,0,10,measured
4,154691,248.956,20,0,4,0,10,measured
5,155544,308.324,25,0,5,0,10,measured
6,154880,162.577,30,0,6,0,10,measured
7,155270,222.831,35,0,7,0,10,measured
8,155209,205.491,40,0,8,0,10,measured
9,155392,280.515,45,0,9,0,10,measured
10,155478,142.322,50,0,10,0,10,measured
