variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,1583.721651,50.367556,3.039657,0.476112,0.000000,0.000000,10
500,2782.533668,57.639088,1.956310,0.510123,0.000000,0.000000,10
1000,3074.565615,113.924204,1.683789,0.171844,0.000000,0.000000,10
2500,3125.397748,202.930295,1.525303,0.074208,0.000000,0.000000,10
5000,3288.810175,167.754254,1.570039,0.071809,0.000000,0.000000,10
10000,3333.313438,91.324111,1.547228,0.041680,0.000000,0.000000,10
