variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,secondary_4_mean,secondary_4_ci95,n_runs
1,0.014557,0.000522,2.000000,0.000000,1.000000,0.000000,2.000000,0.000000,64.000000,0.000000,10
5,0.067556,0.004853,10.000000,0.000000,5.000000,0.000000,2.000000,0.000000,320.000000,0.000000,10
10,0.127813,0.003524,20.000000,0.000000,10.000000,0.000000,2.000000,0.000000,640.000000,0.000000,10
15,0.191177,0.004233,30.000000,0.000000,15.000000,0.000000,2.000000,0.000000,960.000000,0.000000,10
20,0.256231,0.005790,40.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1280.000000,0.000000,10
