variable_value,primary_mean,primary_ci95,records_evolved_mean,records_evolved_ci95,entries_retokenized_mean,entries_retokenized_ci95,delivered_kb_mean,delivered_kb_ci95,fsns_touched_mean,fsns_touched_ci95,n_runs
0.1,1411.800856,2.186785,8000.000000,0.000000,47766.000000,0.000000,26928.664062,0.000000,4.000000,0.000000,10
0.25,1413.347568,1.666970,8000.000000,0.000000,47766.000000,0.000000,26928.664062,0.000000,4.000000,0.000000,10
0.5,1410.734772,1.321658,8000.000000,0.000000,47766.000000,0.000000,26928.664062,0.000000,4.000000,0.000000,10
0.75,1403.716096,1.321092,8000.000000,0.000000,47766.000000,0.000000,26928.664062,0.000000,4.000000,0.000000,10
1.0,1407.310633,1.767866,8000.000000,0.000000,47766.000000,0.000000,26928.664062,0.000000,4.000000,0.000000,10
