variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,n_runs
100,35.807533,0.019795,0.204102,0.000000,1.000000,0.000000,0.204102,0.000000,10
1000,360.469039,0.326114,0.204102,0.000000,1.000000,0.000000,0.204102,0.000000,10
10000,3621.079368,8.124429,0.204102,0.000000,1.000000,0.000000,0.204102,0.000000,10
100000,36136.594703,99.043492,0.204102,0.000000,1.000000,0.000000,0.204102,0.000000,10
