variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,0.071217,0.005420,0.927482,0.004473,28.000000,0.000000,30
500,0.076627,0.004235,0.942769,0.004982,124.666667,2.514145,30
1000,0.072304,0.002968,0.948074,0.004427,247.766667,4.593920,30
2500,0.076138,0.003506,0.941912,0.003478,622.800000,18.603593,30
5000,0.074817,0.003537,0.944851,0.002232,1208.333333,25.006646,30
10000,0.074088,0.001998,0.945432,0.001746,2369.533333,36.406320,30
