variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,n_runs
100,2.461913,0.039917,102.000000,0.000000,187.000000,0.000000,17.000000,0.000000,10
1000,24.229005,0.045248,1002.000000,0.000000,1837.000000,0.000000,167.000000,0.000000,10
10000,240.339917,0.267467,10002.000000,0.000000,18337.000000,0.000000,1667.000000,0.000000,10
100000,2402.831296,3.923030,100002.000000,0.000000,183337.000000,0.000000,16667.000000,0.000000,10
