variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,secondary_4_mean,secondary_4_ci95,n_runs
10000,0.340478,0.026395,6.000000,7.310809,34.600000,28.159995,25.000000,0.000000,2.782885,0.000000,10
50000,0.848377,0.074526,34.000000,68.340613,159.700000,104.566731,25.000000,0.000000,5.787162,0.000000,10
100000,1.599054,0.130617,52.000000,107.716060,353.000000,194.000256,25.000000,0.000000,9.513883,0.000000,10
500000,7.238717,0.481295,188.000000,414.009097,1669.700000,797.739890,25.000000,0.000000,30.109815,0.000000,10
1000000,13.400072,1.301585,394.000000,871.214129,3572.300000,1599.824282,25.000000,0.000000,53.279442,0.000000,10
