variable_value,primary_mean,primary_ci95,n_eff_mean,n_eff_ci95,entries_traversed_mean,entries_traversed_ci95,prune_ratio_mean,prune_ratio_ci95,n_runs
10000,12.3451,8.325238,151.1,108.783323,155.1,108.783323,0.914586,0.071564,30
20000,33.657385,24.919667,452.9,356.262552,456.9,356.262552,0.924562,0.039309,30
50000,90.61151,82.966663,1092.1,946.757283,1096.1,946.757283,0.901401,0.093777,30
100000,98.862341,77.14791,1238.633333,930.263122,1242.633333,930.263122,0.934664,0.069935,30
200000,133.597207,102.553619,1695.4,1227.517103,1699.4,1227.517103,0.979411,0.008403,30
500000,294.504133,219.862829,3434.733333,2482.247996,3438.733333,2482.247996,0.969344,0.018308,30
1000000,1671.112464,1379.66239,18909.866667,15487.971144,18913.866667,15487.971144,0.952594,0.067557,30
