variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,0.091605,0.018231,0.883505,0.026165,31.400000,2.825433,10
500,0.064190,0.013572,0.834787,0.051276,55.600000,26.721983,10
1000,0.065527,0.007246,0.800218,0.044452,110.300000,37.005539,10
2500,0.059333,0.011033,0.871077,0.019871,130.000000,29.291805,10
5000,0.059401,0.013617,0.839437,0.036032,260.000000,274.974692,10
10000,0.062570,0.017625,0.785015,0.034410,925.000000,606.100067,10
