lambda_1_auth,lambda_2_index,lambda_3_verify,lambda_4_sync,lambda_5_queue,throughput_queries_per_second,fsn_utilization_stddev
0.0,0.1,0.4,0.1,0.4,10435.4799,0.078165
0.0,0.1,0.4,0.2,0.3,10955.5304,0.070793
0.0,0.1,0.4,0.3,0.2,10272.3888,0.060445
0.0,0.1,0.4,0.4,0.1,10565.2147,0.074009
0.0,0.1,0.4,0.5,0.0,10758.0857,0.072545
0.0,0.1,0.5,0.0,0.4,10100.6581,0.06268
0.0,0.1,0.5,0.1,0.3,10760.7564,0.069811
0.0,0.1,0.5,0.2,0.2,9503.9454,0.063347
0.0,0.1,0.5,0.3,0.1,10594.4268,0.079306
0.0,0.1,0.5,0.4,0.0,10111.0006,0.066748
0.0,0.1,0.6,0.0,0.3,10420.6786,0.079964
0.0,0.1,0.6,0.1,0.2,10570.9977,0.081455
0.0,0.1,0.6,0.2,0.1,10698.8248,0.069564
0.0,0.1,0.6,0.3,0.0,10626.0847,0.072642
0.0,0.1,0.7,0.0,0.2,10930.1647,0.07752
0.0,0.1,0.7,0.1,0.1,9819.0737,0.073388
0.0,0.1,0.7,0.2,0.0,10125.9845,0.066472
0.0,0.1,0.8,0.0,0.1,10602.4953,0.070022
0.0,0.1,0.8,0.1,0.0,10498.7163,0.064124
0.0,0.1,0.9,0.0,0.0,10971.695,0.067334
0.0,0.2,0.0,0.0,0.8,10833.2714,0.082379
0.0,0.2,0.0,0.1,0.7,10560.8832,0.085331
0.0,0.2,0.0,0.2,0.6,10715.7476,0.082764
0.0,0.2,0.0,0.3,0.5,10779.9196,0.084669
0.0,0.2,0.0,0.4,0.4,10825.9754,0.083085
0.0,0.2,0.0,0.5,0.3,10783.7291,0.083483
0.0,0.2,0.0,0.6,0.2,10905.8604,0.081936
0.0,0.2,0.0,0.7,0.1,10971.4603,0.080479
0.0,0.2,0.0,0.8,0.0,10899.5223,0.083692
0.0,0.2,0.1,0.0,0.7,9949.6943,0.066754
0.0,0.2,0.1,0.1,0.6,10492.9119,0.067545
0.0,0.2,0.1,0.2,0.5,11710.6207,0.073422
0.0,0.2,0.1,0.3,0.4,10846.0634,0.083099
0.0,0.2,0.1,0.4,0.3,10988.7743,0.066871
0.0,0.2,0.1,0.5,0.2,11364.5752,0.076729
0.0,0.2,0.1,0.6,0.1,10511.7465,0.078243
0.0,0.2,0.1,0.7,0.0,11191.8491,0.079346
0.0,0.2,0.2,0.0,0.6,10432.0507,0.067968
0.0,0.2,0.2,0.1,0.5,10775.5706,0.077555
0.0,0.2,0.2,0.2,0.4,10758.1494,0.073028
0.0,0.2,0.2,0.3,0.3,10944.9797,0.078086
0.0,0.2,0.2,0.4,0.2,11414.3446,0.07348
0.0,0.2,0.2,0.5,0.1,10970.0725,0.072415
0.0,0.2,0.2,0.6,0.0,10859.8268,0.074359
0.0,0.2,0.3,0.0,0.5,11191.149,0.072683
0.0,0.2,0.3,0.1,0.4,10927.6492,0.071666
0.0,0.2,0.3,0.2,0.3,10791.3758,0.072623
0.0,0.2,0.3,0.3,0.2,10535.4406,0.081669
0.0,0.2,0.3,0.4,0.1,10328.02,0.06785
0.0,0.2,0.3,0.5,0.0,9729.0868,0.067726
0.0,0.2,0.4,0.0,0.4,11056.2133,0.073713
0.0,0.2,0.4,0.1,0.3,11099.6624,0.081384
0.0,0.2,0.4,0.2,0.2,11052.435,0.073977
0.0,0.2,0.4,0.3,0.1,10680.2451,0.072435
0.0,0.2,0.4,0.4,0.0,11102.2355,0.075404
0.0,0.2,0.5,0.0,0.3,10713.4677,0.075208
0.0,0.2,0.5,0.1,0.2,10741.4466,0.071971
0.0,0.2,0.5,0.2,0.1,10708.5333,0.07256
0.0,0.2,0.5,0.3,0.0,10854.0545,0.074643
0.0,0.2,0.6,0.0,0.2,9207.2502,0.06845
