variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,n_runs
10,19.034803,0.339307,0.966797,0.000000,3.000000,0.000000,10.000000,0.000000,10
50,84.439963,0.725137,4.833984,0.000000,3.000000,0.000000,50.000000,0.000000,10
100,167.847093,1.696253,9.667969,0.000000,3.000000,0.000000,100.000000,0.000000,10
500,823.963167,2.914157,48.339844,0.000000,3.000000,0.000000,500.000000,0.000000,10
1000,1668.560304,18.139617,96.679688,0.000000,3.000000,0.000000,1000.000000,0.000000,10
