variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,0.121610,0.025251,0.882676,0.029299,31.800000,3.195617,10
500,0.063701,0.014309,0.877514,0.019491,53.600000,14.208236,10
1000,0.053404,0.012836,0.862719,0.022485,78.200000,30.035148,10
2500,0.064427,0.029136,0.834036,0.035719,222.400000,193.776265,10
5000,0.051669,0.021399,0.848039,0.038011,310.400000,345.863240,10
10000,0.049020,0.009684,0.855587,0.017567,293.300000,262.233370,10
