variable_value,primary_mean,primary_ci95,tokens_mean,tokens_ci95,keywords_mean,keywords_ci95,policies_mean,policies_ci95,token_bytes_mean,token_bytes_ci95,n_runs
1,0.055033,0.003810,8.000000,0.000000,1.000000,0.000000,8.000000,0.000000,256.000000,0.000000,10
5,0.260640,0.003874,40.000000,0.000000,5.000000,0.000000,8.000000,0.000000,1280.000000,0.000000,10
10,0.501718,0.003823,80.000000,0.000000,10.000000,0.000000,8.000000,0.000000,2560.000000,0.000000,10
15,0.753732,0.004620,120.000000,0.000000,15.000000,0.000000,8.000000,0.000000,3840.000000,0.000000,10
20,1.008873,0.008558,160.000000,0.000000,20.000000,0.000000,8.000000,0.000000,5120.000000,0.000000,10
