variable_value,primary_mean,primary_ci95,tokens_mean,tokens_ci95,keywords_mean,keywords_ci95,policies_mean,policies_ci95,token_bytes_mean,token_bytes_ci95,n_runs
1,0.011107,0.002085,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,32.000000,0.000000,10
5,0.034854,0.002117,5.000000,0.000000,5.000000,0.000000,1.000000,0.000000,160.000000,0.000000,10
10,0.068980,0.004383,10.000000,0.000000,10.000000,0.000000,1.000000,0.000000,320.000000,0.000000,10
15,0.097058,0.001463,15.000000,0.000000,15.000000,0.000000,1.000000,0.000000,480.000000,0.000000,10
20,0.129433,0.002577,20.000000,0.000000,20.000000,0.000000,1.000000,0.000000,640.000000,0.000000,10
