variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,n_runs
1,1.000000,0.000000,19999.000000,0.000000,1.000000,0.000000,743.149039,185.419735,10
2,2.000000,0.000000,19998.000000,0.000000,2.000000,0.000000,785.137878,210.115596,10
5,5.000000,0.000000,19995.000000,0.000000,5.000000,0.000000,780.793743,211.654358,10
10,10.000000,0.000000,19990.000000,0.000000,10.000000,0.000000,728.943192,196.045362,10
20,20.000000,0.000000,19980.000000,0.000000,20.000000,0.000000,759.986192,193.741809,10
50,50.000000,0.000000,19950.000000,0.000000,50.000000,0.000000,766.319579,196.400204,10
100,100.000000,0.000000,19900.000000,0.000000,100.000000,0.000000,780.379755,209.657050,10
200,200.000000,0.000000,19800.000000,0.000000,200.000000,0.000000,777.637884,207.283173,10
500,500.000000,0.000000,19500.000000,0.000000,500.000000,0.000000,719.567963,193.805854,10
1000,1000.000000,0.000000,19000.000000,0.000000,1000.000000,0.000000,750.803996,198.666144,10
