variable_value,primary_mean,primary_ci95,trapdoors_issued_mean,trapdoors_issued_ci95,cross_node_msgs_mean,cross_node_msgs_ci95,results_returned_mean,results_returned_ci95,n_runs
2,4.036002,1.199572,2.0,0.0,0.0,0.0,2.3,2.361761,10
3,5.566325,0.714825,3.0,0.0,0.0,0.0,2.1,2.465417,10
4,6.58092,0.690732,4.0,0.0,0.0,0.0,5.1,7.618915,10
5,8.480279,1.242444,5.0,0.0,0.0,0.0,38.8,67.382756,10
6,10.959657,1.75392,6.0,0.0,0.0,0.0,3.2,2.95527,10
7,11.79041,1.193692,7.0,0.0,0.0,0.0,10.7,11.98469,10
8,13.260671,1.271336,8.0,0.0,0.0,0.0,9.5,8.47261,10
9,14.814055,1.278612,9.0,0.0,0.0,0.0,5.9,3.866311,10
10,16.188658,1.767691,10.0,0.0,0.0,0.0,14.0,13.003852,10
