variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,35.222579,0.068992,0.204102,0.000000,1.000000,0.000000,30
1000,351.694284,0.312798,0.204102,0.000000,1.000000,0.000000,30
10000,3551.899326,3.143277,0.204102,0.000000,1.000000,0.000000,30
100000,35408.833450,29.243520,0.204102,0.000000,1.000000,0.000000,30
