variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,0.084180,0.025532,0.885514,0.019411,30.100000,3.224841,10
500,0.056166,0.016818,0.853981,0.020497,62.900000,20.987731,10
1000,0.056523,0.020813,0.854202,0.030700,89.400000,41.897366,10
2500,0.066795,0.018055,0.793004,0.059290,326.600000,190.389851,10
5000,0.063714,0.017169,0.817984,0.050639,474.500000,371.024158,10
10000,0.067613,0.015881,0.775330,0.036261,1072.400000,638.840748,10
