variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,1985.262331,54.952769,3.920638,0.540486,0.000000,0.000000,10
500,2908.093826,87.759301,2.692132,0.482076,0.000000,0.000000,10
1000,3146.331606,72.890454,2.257983,0.385399,0.000000,0.000000,10
2500,3327.720552,72.062446,2.029753,0.171583,0.000000,0.000000,10
5000,3229.601700,198.137841,1.893860,0.089991,0.000000,0.000000,10
10000,3445.158741,50.579242,1.867472,0.018746,0.000000,0.000000,10
