variable_value,primary_mean,primary_ci95,tokens_mean,tokens_ci95,keywords_mean,keywords_ci95,policies_mean,policies_ci95,token_bytes_mean,token_bytes_ci95,n_runs
1,0.014602,0.000348,2.000000,0.000000,1.000000,0.000000,2.000000,0.000000,64.000000,0.000000,10
5,0.065533,0.002507,10.000000,0.000000,5.000000,0.000000,2.000000,0.000000,320.000000,0.000000,10
10,0.128253,0.002960,20.000000,0.000000,10.000000,0.000000,2.000000,0.000000,640.000000,0.000000,10
15,0.190904,0.002964,30.000000,0.000000,15.000000,0.000000,2.000000,0.000000,960.000000,0.000000,10
20,0.256712,0.004586,40.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1280.000000,0.000000,10
