variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,1470.338116,49.582090,5.372023,0.991243,0.000000,0.000000,10
500,2469.557119,109.767671,1.985672,0.269012,0.000000,0.000000,10
1000,2868.787114,107.110409,1.910684,0.332502,0.000000,0.000000,10
2500,3077.225303,77.356070,1.908973,0.150619,0.000000,0.000000,10
5000,2936.537596,146.117867,1.707225,0.236559,0.000000,0.000000,10
10000,2907.555541,136.778576,1.575178,0.075835,0.000000,0.000000,10
