variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,0.079286,0.002271,0.176694,0.005996,100.0,0.0,30
500,0.061446,0.002607,0.14444,0.006602,500.0,0.0,30
1000,0.060917,0.001565,0.144806,0.004197,1000.0,0.0,30
2500,0.056442,0.001032,0.134782,0.002716,2500.0,0.0,30
5000,0.055586,0.001027,0.133551,0.002684,5000.0,0.0,30
