variable_value,primary_mean,primary_ci95,max_node_utilization_mean,max_node_utilization_ci95,max_node_utilization_n,cross_node_forwards_mean,cross_node_forwards_ci95,cross_node_forwards_n,max_queue_depth_mean,max_queue_depth_ci95,max_queue_depth_n,n_runs
100,0.364943,0.004087,0.971752,0.00099,10,204.0,0.0,10,80.0,0.0,10,10
500,0.387796,0.002182,0.975629,0.001155,10,1054.0,0.0,10,402.4,0.768986,10,10
1000,0.392423,0.001685,0.976597,0.000927,10,2114.0,0.0,10,800.6,0.500182,10,10
2500,0.39528,0.002006,0.975586,0.003206,10,5304.0,0.0,10,1986.3,6.487042,10,10
5000,0.396558,0.001374,0.976394,0.00232,10,10614.0,0.0,10,3958.3,9.266258,10,10
10000,0.39716,0.001433,0.974858,0.002218,10,21250.0,0.0,10,7917.3,21.092046,10,10
