variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
10000,0.459990,0.006956,12.000000,0.000000,31.000000,0.000000,30
50000,0.612266,0.005840,28.000000,0.000000,100.000000,0.000000,30
100000,0.875431,0.005105,65.000000,0.000000,233.000000,0.000000,30
500000,2.851331,0.012792,389.000000,0.000000,1098.000000,0.000000,30
1000000,24.995007,39.340321,779.000000,0.000000,2122.000000,0.000000,30
