variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,secondary_4_mean,secondary_4_ci95,n_runs
0.1,0.674678,0.004546,4.000000,0.000000,24.000000,0.000000,3.515625,0.000000,1.000000,0.000000,10
0.25,1.650612,0.016025,10.000000,0.000000,60.000000,0.000000,8.789062,0.000000,1.000000,0.000000,10
0.5,3.263190,0.015452,20.000000,0.000000,120.000000,0.000000,17.509766,0.000000,2.000000,0.000000,10
0.75,4.871347,0.010759,30.000000,0.000000,180.000000,0.000000,26.367188,0.000000,3.000000,0.000000,10
1.0,6.455875,0.015733,40.000000,0.000000,240.000000,0.000000,35.087891,0.000000,4.000000,0.000000,10
