variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,n_runs
100,51.200098,0.621492,0.204102,0.000000,37.000000,0.000000,2.172852,0.000000,10
1000,504.222948,0.464217,0.204102,0.000000,37.000000,0.000000,2.172852,0.000000,10
10000,5101.311230,7.576132,0.204102,0.000000,37.000000,0.000000,2.172852,0.000000,10
100000,50692.047059,176.627415,0.204102,0.000000,37.000000,0.000000,2.172852,0.000000,10
