variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,n_runs
100,36.685068,0.023079,0.204102,0.000000,4.000000,0.000000,0.816406,0.000000,10
1000,369.299138,0.548530,0.204102,0.000000,4.000000,0.000000,0.816406,0.000000,10
10000,3714.956484,7.235713,0.204102,0.000000,4.000000,0.000000,0.816406,0.000000,10
100000,36835.463708,104.033728,0.204102,0.000000,4.000000,0.000000,0.816406,0.000000,10
