variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,secondary_4_mean,secondary_4_ci95,n_runs
1,0.010674,0.002212,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,32.000000,0.000000,10
5,0.034489,0.000661,5.000000,0.000000,5.000000,0.000000,1.000000,0.000000,160.000000,0.000000,10
10,0.076249,0.009384,10.000000,0.000000,10.000000,0.000000,1.000000,0.000000,320.000000,0.000000,10
15,0.096431,0.003017,15.000000,0.000000,15.000000,0.000000,1.000000,0.000000,480.000000,0.000000,10
20,0.130615,0.006126,20.000000,0.000000,20.000000,0.000000,1.000000,0.000000,640.000000,0.000000,10
