variable_value,primary_mean,primary_ci95,records_evolved_mean,records_evolved_ci95,entries_retokenized_mean,entries_retokenized_ci95,delivered_kb_mean,delivered_kb_ci95,fsns_touched_mean,fsns_touched_ci95,n_runs
0.1,157.686114,0.323891,862.000000,0.000000,5133.000000,0.000000,2895.402344,0.000000,4.000000,0.000000,10
0.25,357.260361,0.818981,2000.000000,0.000000,11911.000000,0.000000,6718.527344,0.000000,4.000000,0.000000,10
0.5,707.946332,1.402797,4000.000000,0.000000,23863.000000,0.000000,13455.152344,0.000000,4.000000,0.000000,10
0.75,1060.119047,1.698797,6000.000000,0.000000,35809.000000,0.000000,20189.128906,0.000000,4.000000,0.000000,10
1.0,1410.013444,1.657142,8000.000000,0.000000,47766.000000,0.000000,26927.960938,0.000000,4.000000,0.000000,10
