variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,35.602882,0.140134,0.204102,0.000000,1.000000,0.000000,30
1000,356.746676,0.246914,0.204102,0.000000,1.000000,0.000000,30
10000,3575.726998,4.381727,0.204102,0.000000,1.000000,0.000000,30
100000,35721.764683,32.135993,0.204102,0.000000,1.000000,0.000000,30
