variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,0.099724,0.013978,0.893681,0.018480,30.500000,2.573739,10
500,0.055023,0.016207,0.849310,0.017083,59.700000,11.103021,10
1000,0.059936,0.015064,0.840027,0.041406,115.300000,37.002466,10
2500,0.059531,0.022114,0.783305,0.054112,289.400000,192.496800,10
5000,0.057286,0.013653,0.809847,0.035763,337.700000,208.252574,10
10000,0.062485,0.012097,0.769162,0.034305,1012.300000,481.230545,10
