variable_value,primary_mean,primary_ci95,tokens_mean,tokens_ci95,keywords_mean,keywords_ci95,policies_mean,policies_ci95,token_bytes_mean,token_bytes_ci95,n_runs
1,0.027279,0.000565,4.000000,0.000000,1.000000,0.000000,4.000000,0.000000,128.000000,0.000000,10
5,0.128770,0.003100,20.000000,0.000000,5.000000,0.000000,4.000000,0.000000,640.000000,0.000000,10
10,0.255756,0.005541,40.000000,0.000000,10.000000,0.000000,4.000000,0.000000,1280.000000,0.000000,10
15,0.379573,0.005245,60.000000,0.000000,15.000000,0.000000,4.000000,0.000000,1920.000000,0.000000,10
20,0.507586,0.004903,80.000000,0.000000,20.000000,0.000000,4.000000,0.000000,2560.000000,0.000000,10
