variable_value,primary_mean,primary_ci95,max_node_utilization_mean,max_node_utilization_ci95,max_node_utilization_n,cross_node_forwards_mean,cross_node_forwards_ci95,cross_node_forwards_n,max_queue_depth_mean,max_queue_depth_ci95,max_queue_depth_n,n_runs
100,0.189646,0.017622,0.962965,0.002595,10,0.0,0.0,10,39.9,6.203886,10,10
500,0.116322,0.028673,0.960603,0.009459,10,0.0,0.0,10,105.7,19.275001,10,10
1000,0.090274,0.017706,0.964821,0.00641,10,0.0,0.0,10,158.4,24.900175,10,10
2500,0.072663,0.015587,0.951312,0.006351,10,0.0,0.0,10,332.0,36.990093,10,10
5000,0.06114,0.013378,0.946035,0.008857,10,0.0,0.0,10,580.1,65.32936,10,10
10000,0.051885,0.015368,0.936384,0.008212,10,0.0,0.0,10,1058.0,146.462132,10,10
