variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,secondary_3_mean,secondary_3_ci95,secondary_4_mean,secondary_4_ci95,n_runs
0.1,6.890784,0.028278,40.000000,0.000000,240.000000,0.000000,141.054688,0.000000,4.000000,0.000000,10
0.25,6.885861,0.014723,40.000000,0.000000,240.000000,0.000000,141.054688,0.000000,4.000000,0.000000,10
0.5,6.907273,0.026492,40.000000,0.000000,240.000000,0.000000,141.054688,0.000000,4.000000,0.000000,10
0.75,6.899015,0.011517,40.000000,0.000000,240.000000,0.000000,141.054688,0.000000,4.000000,0.000000,10
1.0,6.943400,0.023622,40.000000,0.000000,240.000000,0.000000,141.054688,0.000000,4.000000,0.000000,10
