variable_value,primary_mean,primary_ci95,latency_p95_mean,latency_p95_ci95,latency_p95_n,rejected_mean,rejected_ci95,rejected_n,n_runs
100,460.324675,10.640355,4.892444,0.242776,10,0.0,0.0,10,10
500,550.6249,8.645638,3.486138,0.078843,10,0.0,0.0,10,10
1000,542.593865,17.878797,3.448378,0.043297,10,0.0,0.0,10,10
2500,545.428503,7.9058,3.621442,0.032832,10,0.0,0.0,10,10
5000,559.388098,4.283519,3.518985,0.041286,10,0.0,0.0,10,10
10000,546.141186,7.190255,3.647265,0.058481,10,0.0,0.0,10,10
