variable_value,primary_mean,primary_ci95,secondary_1_mean,secondary_1_ci95,secondary_2_mean,secondary_2_ci95,n_runs
100,35.046664,0.015781,0.204102,0.000000,1.000000,0.000000,30
1000,352.404423,0.287465,0.204102,0.000000,1.000000,0.000000,30
10000,3520.076677,4.030956,0.204102,0.000000,1.000000,0.000000,30
100000,35009.679117,35.283914,0.204102,0.000000,1.000000,0.000000,30
