variable_value,primary_mean,primary_ci95,latency_p95_mean,latency_p95_ci95,latency_p95_n,rejected_mean,rejected_ci95,rejected_n,n_runs
100,665.261257,17.48859,10.312363,0.305832,10,6.0,0.0,10,10
500,908.809539,13.180825,6.323185,0.105059,10,31.0,0.0,10,10
1000,929.181773,10.988983,6.216126,0.062605,10,62.0,0.0,10,10
2500,954.24374,15.288347,6.354215,0.032266,10,156.0,0.0,10,10
5000,969.635696,13.624136,6.260449,0.054702,10,312.0,0.0,10,10
10000,974.59812,22.313682,6.247431,0.045619,10,625.0,0.0,10,10
